Prefecture,Food,Rice,White.bread,Other.bread,Non.dried..Udon...Soba.,Dried..Udon...Soba.,Pasta,Chinese.noodles,Cup.noodles,Instant.noodles,Other.noodles,Wheat.flour,X.Mochi...rice.cakes,Other.in..Other.cereals.,Tuna.fish,Horse.mackerel,Sardines,Bonito,Flounder,Salmon,Mackerel,Saury,Sea.bream,Yellowtail,Cuttlefish,Octopus,Shrimps...lobsters,Crabs,Other.raw.fish,X.Sashimi...mixed.set,Short.necked.clams,Fresh.water.clams,Oysters,Scallops,Other.shellfish,Salted.salmon,Salted.pollock.roe,X.Shirasu.boshi...dried.young.sardines,Dried.horse.mackerel,Other.salted...dried.fish,X.Agekamaboko...fried.fish.paste.patties,X.Chikuwa...baked.fish.paste.bars,X.Kamaboko...steamed.fish.paste.cakes,Other.fish.paste.products,Bonito.fillets...fish.flakes..dried,Pickled.fish,Fish.prepared.in.soy.sauce,Canned.fish,Other.in..Other.processed.fish.,Beef,Pork,Chicken,Mixed.ground.meat,Other.raw.meat,Ham,Sausages,Bacon,Other.processed.meat,Fresh.milk,Powdered.milk,Yogurt,Butter,Cheese,Other.dairy.products,Eggs,Cabbage,Spinach,Chinese.cabbage,Welsh.onions,Lettuce,Broccoli,Bean.sprouts,Other.leafy.vegetables,Sweet.potatoes,White.potatoes,Taros,Radishes,Carrots,Burdocks,Onions,Lotus.roots,Bamboo.shoots,Other.root.vegetables,String.beans,Pumpkins,Cucumbers,Eggplants,Tomatoes,Green.peppers,X.Shiitake...Japanese.mushrooms..fresh,X.Shimeji...mushrooms,X.Enokitake...mushrooms,Other.mushrooms,Other.in..Other.vegetables.,Beans,X.Shiitake...Japanese.mushrooms..dried,Dried.laver,X.Wakame...seaweed,Dried.tangle,Other.dried.vegetables...seaweeds,Bean.curd,Fried.bean.curd,X.Natto...fermented.soybeans,Other.soybean.products,X.Konnyaku...devil.s.tongue.jelly,X.Umeboshi...pickled.plums,Pickled.radishes,Pickled.chinese.cabbage,Other.pickled.vegetables,Tangle.prepared.in.soy.sauce,Other.vegetables...seaweeds.prepared.in.soy.sauce,Other.in..Other.processed.vegetables...seaweeds.,Apples,Mandarin.oranges,Grapefruits,Oranges,Other.citrus.fruits,Pears,Grapes,Persimmons,Peaches,Watermelons,Melons,Strawberries,Bananas,Kiwi.fruits,Other.fruits,Processed.fruits,Edible.oil,Margarine,Salt,Soy.sauce,X.Miso...soybean.paste,Sugar,Vinegar,Worcester.sauce,Tomato.ketchup,Mayonnaise...mayonnaise.flavor.seasoning,Dressing,Jam,Instant.curry.mix,Instant.dried.soup,Soup.stock,X.Furikake...granular.flavor.seasonings,X.Tsuyu.....Tare...liquid.seasonings,Other.seasonings,X.Yokan...sweet.bean.jelly,X.Manju...bean.jam.cakes,Other.fresh.Japanese.cakes,X.Kasutera...sponge.cakes,Cakes,Jelly,Puddings,Other.fresh.cakes,X.Senbei...Japanese.crackers,Biscuits,Fried...salted.snack.crackers,Candies,Chocolate,Chocolate.snacks,Ice.cream...ice.sherbet,Other.cakes...candies,Packed.lunch,X.Sushi...packed.,X.Onigiri...others,Bread.like.sandwiches.put.cooked.food.between.bread,Other.cooked.food.with.rice..bread.or.noodles,X.Kabayaki...broiled.eels,Salad,Croquettes,Cutlets,Fried.food,Shao.mais,Jiao.zi,X.Yakitori...grilled.chickens,Hamburg.steak,Frozen.food,Food.stuff.for.cooking,Others.in..Other.cooked.food.,Green.tea,Black.tea,Other.tea.leaves,Tea.beverages,Coffee,Coffee.beverages,Cocoa...cocoa.beverages,Fruits...vegetable.juice,Carbonated.beverages,Fermented.lactic.beverages,Lactic.beverages,Mineral.water,Sports.drinks,Other.in..Other.beverages.,X.Sake.,X.Shochu...distilled.spirits,Beer,Whisky,Wine,Low.malt.beer...beer.flavored.alcoholic.beverages,X.Chu.hi...liquor.with.soda...fruit....cacktail,Other.alcoholic.beverages,X.Soba....Udon...Japanese.noodles,Chinese.noodles.1,Other.noodles.1,X.Sushi...eating.out,Japanese.meals,Chinese.meals,Western.meals,Broiled.meat,Hamburgers,Other.meals,Other.refreshments,Drinking,School.lunch
HOKKAIDO,910399,30994,8495.666667,18941.66667,2973,1974,1307,3976.666667,4974,1496.333333,690,613.3333333,1818.666667,3219.333333,4318.333333,193.3333333,334,784.6666667,1790.666667,7013,760.6666667,1132,496.6666667,1143.333333,1869,1398,3216,1703,8043.333333,3583,599,541.6666667,750.3333333,2091.333333,742,2963,2598,777.3333333,209.6666667,9591,1538,1475.666667,3504.333333,1311.333333,657,4746.666667,564.6666667,2688,4201.333333,10653.33333,30887.33333,15055.33333,1493,4567,4605.333333,8447,3260.666667,4127.666667,12450.33333,965.6666667,10694.33333,1410.333333,6844,452.6666667,8444.333333,2935,2577.333333,1547,3166.333333,2611,2232.666667,1051.666667,8918.333333,1212.333333,2652,348.6666667,1874.666667,2241.666667,1030.666667,3628.333333,634.3333333,938,3280.666667,1469,1817.666667,2961.333333,2184.333333,7681.333333,2444.666667,1817.333333,1574.333333,918,2307,3426.333333,423,464.3333333,2697.666667,1158,730.3333333,2548.333333,4427.666667,2106.666667,4454.333333,596,1861.666667,1773.333333,833.6666667,316.6666667,4902,965.3333333,283,2020.666667,4062.666667,4344,271.3333333,606.3333333,2062.333333,843,1841.333333,1453.333333,688,1324.666667,2815.666667,2295.666667,5165.666667,1801.666667,3203.333333,3288.333333,3519.666667,518,386,1451.333333,1850.666667,933,790,704.3333333,633.6666667,1258.333333,1849.666667,992.6666667,1528,2789,2348.666667,1434.666667,4872,11763,626,642,9656.333333,731.3333333,7347,1897,1185.666667,7988,4260.666667,4162.333333,6526,2419.333333,7865,2195.666667,9505.333333,17311.66667,11139.33333,10719.66667,4535.333333,5269.333333,9582.333333,1198.333333,3500,1236,1157,10035,855.3333333,1764.666667,2616.333333,1095.666667,5482.333333,1243,23279.66667,3005.333333,732,1124,6754,6996.333333,4549,427.3333333,7269,7125,2862.333333,1715.666667,3202.666667,1319,5921,5928,4964.666667,14927.33333,3163,4037.666667,13262.33333,3462.666667,1359.666667,6575,6793,2266.666667,19849.66667,23857.66667,4509.666667,17165.33333,7681.333333,3688,22506,5665.333333,26189,15619
AOMORI,878929.6667,23772.66667,7776.666667,17335.66667,2776.666667,2020.666667,1015.666667,4857.333333,6115.333333,1890.666667,480.3333333,482.6666667,1342.666667,2125.666667,5392,686,805,1112,1943.666667,6516,690.3333333,1360,616.6666667,1718,3039.333333,1149.666667,2871,1645,8713,2802.333333,470,959.3333333,314.3333333,3557,879.6666667,3517.666667,3398.333333,773.3333333,343,13297.66667,1513,1636.666667,2725,1271,487,6580,582.3333333,3644,3923,15006.33333,30454.66667,13531,1171.333333,3136.666667,4366.333333,8733.666667,3000.333333,3949,12653.66667,549.3333333,11582.33333,831.6666667,5109.333333,456.6666667,7493.666667,3167.666667,2564,1254.666667,2788.333333,2645.666667,2131.333333,1382.333333,7362.666667,784,1839.666667,239,1808.666667,2213.333333,1242.666667,3577,586.6666667,632.3333333,4225.333333,2014.666667,1200,3015,2655.666667,8061.333333,1869,2036.666667,1677.333333,1029.666667,2843.666667,2791,240.6666667,267.6666667,2381.333333,1902,1212.666667,2823.333333,4794.666667,2424,5083.666667,865,2512.666667,1979,1246.666667,521,5195,1140.666667,296.6666667,2304,8540,3796,318.6666667,695.3333333,1924,821.3333333,1659.666667,1149,704.3333333,1113,1621.666667,2786,5221,1806.666667,3810.666667,2896.333333,3627.333333,696.6666667,489.3333333,1481.333333,1889,1018,1010,719,542.6666667,1188.666667,1817.333333,1104.666667,1577.666667,2955,1723.666667,1343,5508.333333,11595.66667,598.6666667,419,7897.666667,530.6666667,6962.333333,2357.666667,1571.666667,7515.333333,5136,3003.333333,5597.666667,1850.666667,5260,1529,9720,21438.33333,14559,12311,3339.666667,4707,10816,1641.333333,4263.333333,1979.333333,2070.333333,11591.66667,690.3333333,1658,4122,1502.333333,6972.333333,952.6666667,27896.33333,2236.666667,381.3333333,1165,6852.666667,6379,5635,367.6666667,10553.66667,7612.666667,3692,2059,1525.666667,1529,6763.333333,6637,9540,13576.33333,3393.666667,3432,11200.33333,3866,999.3333333,4451.333333,8054,770.3333333,13292.66667,15006.33333,3559.666667,9824.666667,7356,3107,13222.33333,2571.333333,14177.66667,10745.33333
IWATE,951175.6667,25867.33333,8270,20621.66667,3198,2419.666667,1178,5651,5578.666667,1812,854,606.6666667,1306,2840.666667,6354.333333,551.6666667,488,2432.333333,1256,5392.666667,652,1762,295.3333333,2055.333333,1669.333333,1050.666667,1898,929.3333333,6474.666667,3634.333333,708.3333333,481.6666667,787,1626.333333,523.3333333,4335,1995.333333,828.3333333,497.3333333,9998.666667,1518,1551.666667,2626,1176.333333,644.6666667,4375.666667,614,3335.333333,3792,10630.33333,29034.33333,14034,1475.666667,2911,4836.333333,7872.333333,2874.666667,2845.666667,16938.33333,1158.666667,16991.66667,1012.333333,6601.333333,656.6666667,8353,3307,3149.666667,1255.666667,2965.333333,2164.666667,2924.666667,1232.666667,8384,1007.666667,2072.666667,855.3333333,2167,2627.333333,1326.333333,3396.333333,792.3333333,615,3602,2124,1740.333333,3349,2177.333333,7505.666667,2251.333333,2174.666667,1988.333333,1366.333333,3434.666667,3911,260.3333333,432.3333333,2551.333333,2583.333333,1355.333333,3226,7087,3128,6189.333333,883.6666667,2355.666667,1529.333333,1200,498.6666667,5330.666667,1315,286.3333333,2169.666667,8856.333333,4069,312.3333333,559.3333333,2368.666667,1289,2339.666667,960,1033,1236.666667,1007.333333,3311.666667,5082.333333,2288.666667,4450.333333,3251.333333,4059,740.3333333,431,1780.333333,2588.333333,982.3333333,959.6666667,632.3333333,656.3333333,1197.333333,2018.666667,1220,1544,4249.333333,2179,1634.333333,5681,13100.33333,804.6666667,640.3333333,8104.333333,442,7189,3137,1439.333333,6665,6424.333333,3715.333333,4420,2093.333333,6542.333333,1741.666667,10656.33333,24908.33333,14493.33333,11808,4398,4607.333333,11726.66667,1657,4719.333333,1723,2299.666667,11207,759,1847,2302.333333,1477.333333,7877,2817,30546.66667,3564.333333,561.6666667,1454.333333,7117.333333,6973,4096,514.3333333,9356.666667,6323,3238.333333,2338.333333,2785.333333,1664.666667,6974.666667,7631,6753.666667,13803.66667,1668.666667,4146.666667,10687.66667,4452,1135.333333,6020.666667,10282.33333,2100.333333,13807.33333,9810.333333,2012,6562.666667,6897.333333,3243.666667,47306.66667,4708,23045.66667,9892
MIYAGI,958379.6667,20207,7971.666667,18989.33333,2967.333333,2525,1217,4793.333333,5043.333333,1702,803,580.3333333,1438.333333,2704.333333,6106.333333,677,427.3333333,3180.333333,1455.666667,5140,505,1440.666667,303.3333333,1975,1582,1426,2516,674.6666667,7647.333333,4661.666667,791.3333333,664.6666667,1310.333333,1196,429.3333333,3311,1918.666667,1221.333333,463.6666667,8155,1847.666667,1099,10695,1554,606.6666667,4595.666667,1257.666667,3331,3648.666667,14865,31361,13820.66667,1398.666667,3448.666667,4786.333333,7821,2955,3683.666667,15924,552.6666667,13937.66667,1094.333333,6899,579.6666667,9501.666667,2887,2562.333333,1352.666667,2927.666667,2184,2584.333333,1287,9523.333333,1032,2220,1048.333333,2003.666667,2497,1265.333333,3078,1066.333333,1089,4297.333333,2624.333333,1874,3685.333333,2330.666667,7773.333333,2489.666667,1888.333333,2105.333333,1332,3611.333333,4646,467.6666667,578.6666667,2507.333333,2430,1106,3336.333333,5835,3164.666667,5506.666667,874.3333333,2324.666667,1546.666667,1094.333333,805.6666667,6022.666667,1174.666667,379.6666667,2052,5386.666667,4564.333333,437.6666667,710.3333333,2561,1983,2435.666667,1329.666667,1033.666667,1304.666667,956.3333333,3528.333333,4889.333333,2032.333333,6271,4213.666667,3702,510.3333333,434.6666667,1704.333333,2385.666667,1063,901.3333333,639,584.3333333,1080.666667,1960,1189,1372.666667,3571.666667,2391.666667,1415,4695,12559.66667,888.3333333,936,11284,878.3333333,6908.333333,2345,1555,8435,6165.333333,4465,4810.666667,2341.333333,6665.333333,1973,9572.333333,23490.66667,13292.33333,12921.33333,5248,5390,12011.33333,1940.666667,5273.333333,2077.333333,2455,11581.33333,1040.333333,2191.666667,2265,1442.666667,4869,4262,32578.33333,4635.333333,968.6666667,1299.333333,7120.333333,6610.333333,4182,436,8348,5690,3762.666667,1994.666667,3151,1618.666667,6417,8293,6455.666667,12126,3324.333333,5240.333333,7655.333333,2371.333333,1112,6763,9549.666667,2745,14055,15249.66667,3440.333333,8676.333333,7059.333333,3443.666667,44301.66667,5567.666667,15943.66667,7560.666667
AKITA,900696.6667,19508.33333,6460.666667,17978,3158,3969,984.3333333,4731.666667,5264,1693.333333,608.3333333,536,1213.666667,2034.333333,5351.666667,739.3333333,708,1598.333333,2359,5014,705.6666667,1396,710.6666667,2272.666667,2327,857.6666667,3250.666667,1249,8616.666667,4184,648.6666667,881.6666667,512.6666667,1322,626,4623,3240.333333,861.6666667,453.3333333,8984,1458.666667,1339.333333,3133.333333,1128.333333,645,5082,1435.333333,3369,3315,13603,31052.33333,14460.66667,1280.333333,2768,4227.333333,7762,2936.333333,2596.333333,12569.33333,663.3333333,13055.66667,915.3333333,5786,447,9245.666667,3270,3187.333333,1240.333333,3011,2471.666667,2562,1240.666667,9812,1053.666667,2048.666667,573,1995.666667,2211.333333,1262.666667,3198,679.3333333,649,3910.666667,4147.333333,1554.666667,3498.333333,2624.333333,7477.333333,2132.333333,2241.333333,1542,1216.666667,4198.666667,3756.666667,445,388.6666667,2715.333333,2241,968.6666667,3746.333333,5182.666667,2441.333333,5354.666667,540.3333333,1846.666667,1531.333333,1791,365,6066.666667,844,548,2115.333333,7524.666667,4848.333333,319,677.6666667,2106,1859,2246.666667,817.6666667,1025,1527.333333,1672,3059.333333,4793.666667,1703.666667,4384.333333,2973.333333,3905.666667,575.6666667,435,1740,2684.666667,1237.666667,862.3333333,614.6666667,538.3333333,1167,1725.666667,1049.666667,1510,3369,2009,1717,5792.333333,11836.66667,546,854.3333333,8844.666667,461.6666667,6976,2296.333333,1558,7655.333333,4812.333333,3122.333333,4242,1819.333333,5655.333333,1313.333333,8761,25209.66667,12302.33333,11698,3814,5118.333333,8809.333333,1359,4455,1571.333333,1910,9797.666667,660.3333333,1602.333333,2669.333333,1070,6329.666667,4817.333333,32361.66667,3739.333333,518.3333333,1423.666667,6135.666667,6527.666667,3764.666667,369.6666667,7944.666667,6542.333333,3111,1827,2287.666667,1388.666667,6216,10264,7496.333333,13733,3348.666667,4071.333333,11440.33333,4620.333333,945,5409.666667,9739.333333,1658,13975.33333,13237.66667,2351.666667,5459.666667,6769.666667,2829.666667,26648.33333,3551.333333,16084.33333,12681.66667
YAMAGATA,994946,26732.66667,7781.333333,18735.33333,4487,3476.333333,1229.333333,4867,5186,1588,712,541,1798.333333,2462.666667,5543,476.3333333,321.3333333,2256,1273.333333,4393,512.6666667,1117.333333,386.3333333,1942.666667,1873,1249.333333,2206,993,4937.666667,3114.666667,684.3333333,309,862.3333333,1075,312,3820.666667,2913.666667,984.3333333,495.3333333,9415.333333,1992.666667,1563.666667,3502,1789,834,3681.666667,1060,3664.666667,3293.333333,23011.33333,31402,14599,1463.333333,3302.666667,4407,8384,3331.666667,3869,14418.66667,1085,15964.33333,934.3333333,6559,491,9069.333333,2919.666667,2864,1001.333333,3205.333333,2152.666667,2614,1287.666667,9661.333333,787.6666667,2012,1992.666667,1702.666667,2180.333333,1408,2885,833.6666667,1352.666667,3488,2190,1421.666667,3766,2533,6282.333333,2071.333333,1743.333333,1880.666667,1449.333333,4198.333333,3459.333333,516.6666667,488.3333333,2473,1879.666667,1355.666667,3591,5697,3272.666667,5722.666667,620.6666667,3574.333333,1322.666667,1261.333333,782.6666667,6777.333333,1266.666667,365.6666667,1941.666667,6578,4352.333333,307.6666667,658.3333333,2168.666667,2648.666667,3796.333333,865,1195.333333,1367.333333,862.6666667,3356.333333,4907,1471.333333,10480.66667,2953.333333,4448,568.6666667,505,2978,2556.666667,1327.333333,1051.333333,670.6666667,629.6666667,1316.333333,2169.666667,962,1506.333333,3258,2028,1933,4899.333333,12244.33333,1012.666667,1046.333333,12223.66667,637.6666667,7734.333333,2386,1775,9430.333333,7442.333333,5131.333333,4989.666667,2271,7034,2056.333333,10628.66667,18178.66667,14015.66667,12073.66667,4578.333333,4837.333333,13326.33333,1743,5904,1887.666667,2083.666667,13341,724,1756.666667,3157.333333,1626,9331.333333,3830.333333,29571,3128.333333,619,1136,8007.666667,6445,4298,391.6666667,8341,6799.666667,3494.333333,2126.333333,2121,1902,6741.333333,6389.333333,5807.333333,12011.66667,3874.666667,3801.666667,10286,4318.666667,1063.666667,8250.333333,15687.33333,2628.333333,17944.66667,21230.66667,5222.666667,17584,7545,4394.333333,24344.66667,5218,23643.33333,12365
FUKUSHIMA,961789.3333,24611.66667,7077,18422.33333,2775.666667,2715.666667,1016.666667,4041.333333,5558,1569,869.6666667,584,1472.666667,2470.333333,6815,463.3333333,350.3333333,2896.333333,1025,4392.666667,508.3333333,1071.666667,278.3333333,1791.333333,1499.333333,1004.666667,1770.333333,997,4198.666667,5196.333333,863,550.6666667,596.6666667,924.6666667,269,4207,2554.333333,1564.666667,468.3333333,7775.666667,2444,1223,3806.666667,1949.333333,625.3333333,4560,1311,3835.666667,3198,10821.66667,32948,12164.33333,914.3333333,1969.666667,5496,6731.666667,2705.666667,2333.666667,13732.33333,630.3333333,15376.33333,839,5915,492.6666667,11278,2922.666667,2281,1121.333333,2451.666667,2168.666667,2346,1056.333333,8172,824.6666667,2050,866.6666667,1780.333333,2502.666667,1253.333333,2811,817,682,3356.666667,2199.666667,1465.333333,4000.333333,2224.333333,6876.333333,1760,2131,1894,1385.333333,3202.666667,3092.333333,664.3333333,236,2374.333333,1925.666667,1058.333333,2873.666667,5923,2965.666667,6601.333333,1078,2226.333333,1604,1328.666667,864.6666667,5576.333333,1349.666667,431,2058,7288.333333,4235.666667,283.6666667,565,2719.666667,3103.333333,2984.333333,977.6666667,6858.333333,968.3333333,597.6666667,3629,5201,1595,5016,3452.666667,3800.666667,439.3333333,606.6666667,1653.666667,2416.666667,1174,1158.333333,613.6666667,537.6666667,1316.666667,2215.333333,1063.333333,1368.333333,3866.333333,2109,1525.666667,5407.666667,11530.33333,883.3333333,2368.666667,10296.66667,544.6666667,6288.666667,2093,1756.666667,6625.333333,7676,3896.666667,5146.333333,2338.666667,6759.666667,1770.333333,11119,26167.33333,17899.66667,13966,4980,5927.666667,12331,1643.333333,6134.333333,2267.666667,2482.333333,12001,728.6666667,1939.666667,2793.666667,1596.333333,7838,7730,28673.66667,3816.666667,533,1517.666667,8569.666667,6179.333333,4569.333333,377.3333333,8099,5902,5527,2405.333333,3781.666667,1482.333333,7805.333333,9847.666667,5904.666667,10795.33333,2298,2989.333333,9574.666667,2922,1186,8522,11303.33333,2987,16460.66667,22944.33333,3833.666667,14482,4484,3746,26061.33333,3858,20064.33333,12661.66667
IBARAKI,932199.6667,19367.33333,8494.666667,17673.33333,3125.333333,2314.333333,1070,3787.333333,4561.333333,1459.333333,632.3333333,518,1679.333333,2635,5451.666667,574,417.3333333,2721,771,4882.333333,778.6666667,1094.666667,384.3333333,2102.666667,1338.333333,1189.333333,1873.333333,953.3333333,4161.666667,4309.666667,466,1142,575.3333333,639,271.6666667,3058.666667,2475,1943,683,6364.666667,1729,1058,2772.333333,1723.666667,815.6666667,2741.333333,1489.666667,3071.333333,2505.333333,12762,28808,13328.33333,1509,1222.666667,5634,7389.333333,2235.333333,2240,14647,1093,16109.33333,1160,5992,423.3333333,9000.666667,2479.666667,1803.666667,1050,2610.333333,2166.333333,2208.333333,787.6666667,5882,872.6666667,2044.666667,559.6666667,1741.666667,2284.333333,874.6666667,3011,1008,389,3131.333333,1444,1524.666667,3267,1641.333333,6872.333333,2147.333333,1748,2069.666667,1153,2282.666667,3740,485.6666667,263.3333333,2949.333333,1936.333333,756.6666667,2800.666667,4901.666667,2756.666667,6170.666667,1052.333333,1771,1309.666667,986,613.6666667,4757.666667,1420.333333,477.3333333,1926.666667,5118.333333,4954.666667,309,760.3333333,2382.333333,2023.333333,2440.666667,831,785.3333333,1187,3976,3520.333333,4199,1745.666667,3670,3176,4188.333333,553.6666667,437.6666667,1722.666667,2231.666667,1081.666667,1023.666667,614,561.3333333,1220.666667,2189.333333,1177.666667,1321,3492.333333,2166.333333,1507.333333,4334,11340,865,1249.333333,10484,937.3333333,7100.333333,2237.333333,1570.333333,7834.333333,8070.666667,5083.666667,5311,2090.666667,6618.333333,1968.333333,9790,20254.66667,17838.33333,10986,5260.666667,6448.333333,13889,1862.333333,5829.333333,1895.666667,2423,11169.33333,1047.666667,2063.666667,2689.333333,1683.666667,8185,4318,26941,4425.333333,698.6666667,1412.666667,10188.66667,7929.333333,4961.666667,395,8220,6025,5069.333333,2225,4570.666667,1780.666667,6658.666667,5859,3634.666667,10941,1572.666667,2844.666667,5864.333333,2554.333333,701.6666667,8301.333333,9305.333333,3564.666667,15048.33333,28291.66667,5683.333333,25665,8281,4330.666667,25314,7070.666667,19045,16000.33333
TOCHIGI,982038.3333,22135,9053.333333,19055.33333,3491,2402,1196,3987,4947.333333,1651.333333,630,579,1897.333333,3025.333333,8618.333333,617.3333333,402.3333333,1745.666667,534.3333333,4968.333333,812.3333333,1074.666667,362,1741.333333,1539,1145,2110,1048,4508,4638,756.3333333,433.3333333,713.6666667,900.6666667,231.3333333,2192.333333,2488.333333,2114.666667,667.3333333,6922.666667,2109.333333,1237.666667,2726.333333,1570.666667,846.6666667,3756.666667,1073.333333,3241,2846.666667,17634,30605.66667,13731.66667,1664.666667,1952.333333,5431,6625.666667,2671.333333,2173,14302,480,15463,990.6666667,6334.333333,513.6666667,8897,3051.666667,1970.666667,1246.333333,2870,2820.666667,2694,1065.333333,7102.333333,930.6666667,2188.333333,861.6666667,2368,2670,1235.333333,3175,811.3333333,630,4175.666667,1936.666667,1577.333333,3652.666667,2049,9254.333333,2191,2135,1980.333333,1101,2934.666667,4419.666667,411.3333333,216.6666667,3319,1817.333333,831.6666667,2700,5310.333333,2738.333333,5409.333333,1596.666667,1928.333333,1499.666667,876.6666667,560.6666667,6098.333333,1351.666667,367.6666667,2139.333333,5070.666667,5196,350.3333333,728.6666667,3023.333333,2669,2260.666667,956.3333333,986.6666667,1501,1024,4398.666667,4842.666667,1684,4644,2995.333333,4293.666667,590.6666667,485.3333333,1726.666667,1882.666667,1013,979,705.3333333,606.3333333,1129.666667,2531,1269.666667,1329.666667,3623,2304,1526.333333,5385,12472.33333,895.3333333,978.6666667,8414,674,7521,2510.666667,1904,7459,8128,5040.666667,4526.666667,2202.333333,6727,1449.333333,9905,18199,18126,12689,5490.333333,7633.333333,14548.66667,2445,6833.333333,2113.666667,2473,12824.33333,1082,3952.666667,2743.333333,1413.666667,8267.666667,1177,30646,4401,672.6666667,1081.666667,9798.333333,6215.666667,5127.333333,525.3333333,8721.333333,5574.333333,4511,2543.333333,3961.333333,2180.333333,7211.333333,6799,6205,10380.66667,2605,3561.333333,7857,4055.666667,1238,8425.333333,11329.66667,3313.333333,17519.66667,28176.66667,6026.666667,24208.33333,5027.666667,5187,31851.66667,6486.666667,21174,10420.33333
GUNMA,923713.6667,25322.33333,7652.333333,22129,4378,1879.666667,1106,3698.666667,4585,1414.333333,553.6666667,608,1404.333333,2726,7289,843.3333333,422.3333333,1030.666667,535,6127.666667,759,938,442,1798.666667,1529.333333,1173.666667,1827.333333,807.3333333,4706.333333,5720.666667,936.6666667,323.3333333,619.6666667,871.3333333,315,1979.666667,2886,1850.666667,748.6666667,6007.333333,1870.333333,1577,2363.333333,1197,890.3333333,4373.333333,1209.333333,3092.666667,2877.666667,10042.66667,26943,11176.33333,1270.333333,1735.333333,5634.666667,6585,2197.666667,2247.666667,13555.33333,444.6666667,14448.33333,898.6666667,6056.333333,482.6666667,8563.333333,2599,1650.666667,1032.333333,2495.666667,2634.666667,1873.333333,884.3333333,6005.666667,943.6666667,2102,727.6666667,1625.666667,2196,980,2838,715.3333333,445.3333333,3521.333333,1953.333333,1651,4245.666667,1555.666667,9510,1940.333333,2217.333333,1615,1020.333333,2771.333333,4202.666667,535,237,2737,1743,893.3333333,2630.333333,5018,2754,5648,723.6666667,1633.666667,1217.333333,1006,512,6372.333333,1354,444.6666667,1845,6149,4440,404,705.3333333,2340.333333,2350.333333,2686.666667,606,1067,1435.666667,1018.333333,4061.666667,4937,2227.333333,4301.666667,3392.333333,4010.666667,627.3333333,512,1640.666667,2014,1172.333333,1024.333333,612.3333333,545,1134,2639,1211.333333,1349,3159.333333,2316.666667,1465.666667,4420.333333,11781,558.6666667,1786,7727,708,6908.666667,1902,1485,7285.666667,6853.666667,2939.333333,3672.666667,2428,5918,1202.333333,8985,25147,20074,14332,4569.333333,5653,13180.33333,1586,4914.666667,1583.666667,2331.333333,11531,1238.333333,2204.333333,2672.666667,1262,5791,1674,30064.66667,4124.666667,679,1316.333333,10052,6269.333333,5195,358.6666667,7838.666667,5184.333333,7420.333333,1849.666667,3472.666667,1922.333333,7512.666667,5947.333333,6451,10768,1971.666667,3361,5803,2213.666667,812.3333333,7412.333333,6508.666667,2837,10986.66667,19142.66667,4696.333333,12123.66667,5926,4276,61933.33333,4737.333333,13240.66667,8508
