Prefecture,Food,Rice,White.bread,Other.bread,Non.dried..Udon...Soba.,Dried..Udon...Soba.,Pasta,Chinese.noodles,Cup.noodles,Instant.noodles,Other.noodles,Wheat.flour,X.Mochi...rice.cakes,Other.in..Other.cereals.,Tuna.fish,Horse.mackerel,Sardines,Bonito,Flounder,Salmon,Mackerel,Saury,Sea.bream,Yellowtail,Cuttlefish,Octopus,Shrimps...lobsters,Crabs,Other.raw.fish,X.Sashimi...mixed.set,Short.necked.clams,Fresh.water.clams,Oysters,Scallops,Other.shellfish,Salted.salmon,Salted.pollock.roe,X.Shirasu.boshi...dried.young.sardines,Dried.horse.mackerel,Other.salted...dried.fish,X.Agekamaboko...fried.fish.paste.patties,X.Chikuwa...baked.fish.paste.bars,X.Kamaboko...steamed.fish.paste.cakes,Other.fish.paste.products,Bonito.fillets...fish.flakes..dried,Pickled.fish,Fish.prepared.in.soy.sauce,Canned.fish,Other.in..Other.processed.fish.,Beef,Pork,Chicken,Mixed.ground.meat,Other.raw.meat,Ham,Sausages,Bacon,Other.processed.meat,Fresh.milk,Powdered.milk,Yogurt,Butter,Cheese,Other.dairy.products,Eggs,Cabbage,Spinach,Chinese.cabbage,Welsh.onions,Lettuce,Broccoli,Bean.sprouts,Other.leafy.vegetables,Sweet.potatoes,White.potatoes,Taros,Radishes,Carrots,Burdocks,Onions,Lotus.roots,Bamboo.shoots,Other.root.vegetables,String.beans,Pumpkins,Cucumbers,Eggplants,Tomatoes,Green.peppers,X.Shiitake...Japanese.mushrooms..fresh,X.Shimeji...mushrooms,X.Enokitake...mushrooms,Other.mushrooms,Other.in..Other.vegetables.,Beans,X.Shiitake...Japanese.mushrooms..dried,Dried.laver,X.Wakame...seaweed,Dried.tangle,Other.dried.vegetables...seaweeds,Bean.curd,Fried.bean.curd,X.Natto...fermented.soybeans,Other.soybean.products,X.Konnyaku...devil.s.tongue.jelly,X.Umeboshi...pickled.plums,Pickled.radishes,Pickled.chinese.cabbage,Other.pickled.vegetables,Tangle.prepared.in.soy.sauce,Other.vegetables...seaweeds.prepared.in.soy.sauce,Other.in..Other.processed.vegetables...seaweeds.,Apples,Mandarin.oranges,Oranges,Other.citrus.fruits,Pears,Grapes,Persimmons,Peaches,Watermelons,Melons,Strawberries,Bananas,Kiwi.fruits,Other.fruits,Processed.fruits,Edible.oil,Margarine,Salt,Soy.sauce,X.Miso...soybean.paste,Sugar,Vinegar,Worcester.sauce,Tomato.ketchup,Mayonnaise...mayonnaise.flavor.seasoning,Dressing,Jam,Instant.curry.mix,Instant.dried.soup,Soup.stock,X.Furikake...granular.flavor.seasonings,X.Tsuyu.....Tare...liquid.seasonings,Other.seasonings,X.Yokan...sweet.bean.jelly,X.Manju...bean.jam.cakes,Other.fresh.Japanese.cakes,X.Kasutera...sponge.cakes,Cakes,Jelly,Puddings,Other.fresh.cakes,X.Senbei...Japanese.crackers,Biscuits,Fried...salted.snack.crackers,Candies,Chocolate,Chocolate.snacks,Ice.cream...ice.sherbet,Other.cakes...candies,Packed.lunch,X.Sushi...packed.,X.Onigiri...others,Bread.like.sandwiches.put.cooked.food.between.bread,Other.cooked.food.with.rice..bread.or.noodles,X.Kabayaki...broiled.eels,Salad,Croquettes,Cutlets,Fried.food,Shao.mais,Jiao.zi,X.Yakitori...grilled.chickens,Hamburg.steak,Frozen.food,Food.stuff.for.cooking,Others.in..Other.cooked.food.,Green.tea,Black.tea,Other.tea.leaves,Tea.beverages,Coffee,Coffee.beverages,Cocoa...cocoa.beverages,Fruits...vegetable.juice,Carbonated.beverages,Fermented.lactic.beverages,Lactic.beverages,Mineral.water,Sports.drinks,Other.in..Other.beverages.,X.Sake.,X.Shochu...distilled.spirits,Beer,Whisky,Wine,Low.malt.beer...beer.flavored.alcoholic.beverages,X.Chu.hi...liquor.with.soda...fruit....cacktail,Other.alcoholic.beverages,X.Soba....Udon...Japanese.noodles,Chinese.noodles.1,Other.noodles.1,X.Sushi...eating.out,Japanese.meals,Chinese.meals,Western.meals,Broiled.meat,Hamburgers,Other.meals,Other.refreshments,Drinking,School.lunch
HOKKAIDO,927878.3333,24469.66667,9315.333333,18880,3199,2225,1354,4216.333333,6008.666667,1908,678.3333333,628.3333333,1613,3268,4687.666667,189,194,1147.666667,1403.666667,7768.333333,808,625,605.3333333,1076.333333,1619.666667,1322.666667,2949,2433.666667,8220.333333,2918.666667,550.3333333,472.3333333,1067.666667,2586,742.3333333,2882.333333,2111.333333,802.6666667,178,8793.333333,1624.333333,1462,3314.666667,1078.333333,592.6666667,4354.333333,714,2565.666667,4399.666667,12462.66667,32698,16903,1711.333333,5190,4288.666667,8513.333333,2837.666667,4905,12718.66667,1159,11125,1547.666667,8053.666667,607.6666667,10227.33333,2889.333333,2388,1375,3298,2366.666667,2541.333333,907.3333333,8719.333333,1517.333333,2649.666667,308.3333333,1888,2279,993,4017.666667,666,718.6666667,3445.666667,1257.333333,1654.333333,2956.333333,2396.666667,7486.666667,2549.333333,1966.666667,1551.333333,1055.333333,2297.666667,3158,349,394.3333333,2639,1160.333333,568.3333333,2386,4530.666667,2277.666667,4412.666667,625.3333333,1616.333333,1551,876.6666667,384.6666667,4686,976.6666667,333.3333333,2277.333333,4870.333333,4703,477,2310.666667,683,2378.333333,1397.333333,703.6666667,1637.666667,2165.333333,2734.666667,5587.666667,2216.333333,4675,3653.333333,4658.666667,437,420.6666667,1606.333333,1852,930,972.3333333,683,649.3333333,1501.333333,1721,1272.666667,1427.666667,3152.666667,2260,1432,5222.666667,13463,690.3333333,463.6666667,9227.333333,753,7271.666667,1921,1382,11092.66667,4889.666667,4037.666667,6360.666667,2437.333333,7342.666667,2712.333333,10836,19008.66667,12278.33333,12638,5090.333333,5121,13048.66667,1671.333333,4501.666667,1380.333333,1421,11565.33333,952,1687,2774.666667,1370.333333,7252,630.3333333,28498,2995.666667,754.3333333,1214.333333,7143.333333,8551.333333,5467.666667,397,7058.333333,9001,3482.666667,2312.666667,3139.333333,1291,7302,5266.666667,5490.333333,13816.66667,4666.333333,5033,9945.333333,5152.666667,1517.333333,5665.333333,6098.666667,1748.666667,17473.66667,21403.33333,3254.666667,13998,7193.333333,4152.333333,24592.66667,5490.666667,11935.66667,13392.33333
AOMORI,930706.6667,20421.33333,8526.333333,18439.66667,3527,2310,1216.666667,5710,7495.666667,2446.333333,596,599.6666667,1248,2959.666667,4525.666667,675.6666667,577.6666667,1349.333333,1679.333333,6087.333333,591.6666667,590,654.3333333,1608.666667,2822.333333,1029.333333,2962.666667,1707.666667,8337,2847.666667,341.6666667,838.3333333,471.3333333,3537.666667,765.6666667,3637.666667,3086.333333,887.3333333,371.6666667,10171.66667,1638.666667,1807.333333,3151.666667,1380.333333,487.3333333,6049,567.3333333,3398.333333,4900.666667,15301,33418,16536.33333,1277.333333,3836.333333,4560.333333,9200.666667,3080,4694.666667,13567.66667,1091.333333,12784.66667,1095.333333,5859,539,8695.666667,3326.333333,2396.666667,1218.666667,3406,2610,2874.666667,1459,7257.666667,1054,2350,262.3333333,1725.666667,2505.333333,1133,4375.333333,657,634.3333333,3505.666667,2095.333333,1352.666667,3137.333333,2689,7819.333333,2131.666667,2126.666667,1738.333333,1086.666667,2918,2606,296,330,2439.666667,1870,1202.666667,2906.666667,4935.666667,2484.333333,5642,841.3333333,2379.333333,1823.666667,1180.333333,564,5002,1076,271,2790,8994,3642.333333,475,1976.333333,679.6666667,2056,801.3333333,659.3333333,1191.333333,1395,2994.333333,5420.666667,2170,2996.666667,3216.666667,4113,745.6666667,456,1547.333333,2013.333333,904.6666667,926.3333333,800.6666667,610.6666667,1402,2030.666667,1038.333333,1505.666667,3906.333333,2029,1447.666667,5967.333333,12736.66667,570.3333333,313,8303.666667,453,6594.666667,2448.333333,1660,9538.333333,6073.333333,3816.333333,6663.666667,1962.666667,5209,2455,10885,19531.33333,16579,14553,4004.666667,5342.666667,14868.33333,2119,5388.666667,1824.333333,2137.333333,13855.66667,772.6666667,1740.666667,4356,1866,8535,1575.333333,31176.66667,1980,384.6666667,1202.666667,8685.666667,7198,5984.333333,405.6666667,10071,9832.666667,6453,2803.666667,2353,1850.333333,9197.333333,6225.666667,6960.333333,16329.33333,4168.333333,3864.666667,12935,7218.666667,1151.333333,4697.333333,9007.333333,780,12311.66667,14359,2287,7104,6444.666667,4522,17807,3252,6423.666667,7373.333333
IWATE,980028,22222.66667,8565.333333,21070,3365.333333,2523.666667,1299.333333,6530,6776.666667,2140.666667,870,647.3333333,1324.333333,3066.333333,5431.666667,442.6666667,356.3333333,2285.666667,1025,5403.333333,531.6666667,620.3333333,497.3333333,1817,1790,1083,2334,1263.666667,5846.666667,4245.333333,439.3333333,445.3333333,835.3333333,1862.666667,608.6666667,4092,2346.333333,1063.666667,386.3333333,8781.666667,1522.333333,1966.333333,3287.666667,1127.333333,626.6666667,4529,614,3068.333333,4199,11409.33333,32621,14742.33333,1332.666667,3290.666667,4936.333333,8527.333333,2802,4009.333333,16341.66667,541,15967.66667,1091.666667,6824.666667,697,9728.666667,3152.333333,2802,1174,3136.666667,2243.333333,2897.333333,1233.333333,7624,1151,2221.666667,776,1966,2581,1204.666667,3963.666667,716.6666667,552,3368.333333,1897,1614,3448,2208.666667,7095.333333,2247,1940.666667,1874.333333,1250,3207.666667,3887.333333,360.3333333,347.6666667,3042,2351.666667,1056,2871,6886.666667,3220.333333,6236,908.3333333,2121,1668,1423,564,5860.666667,975,316,2314,7841.333333,4413,600.3333333,2851.333333,1073.333333,2922,1020.333333,848.6666667,1712,1106.333333,3698.666667,5749.333333,2347.666667,4505.333333,3405,4421.666667,627.6666667,461.3333333,1809.333333,2766.666667,953,850,628,647.3333333,1354.666667,2050.333333,1033.666667,1454.333333,4893.333333,2497.333333,1872.666667,6419.333333,14188.33333,976,612,9307,386.6666667,8545.333333,3151.333333,1909,9784.666667,7037.333333,4981.333333,5736.666667,1943,7067.666667,2345.333333,12174.33333,25866,15305,14706,4709.333333,5127,16747.66667,2015.666667,5053,1846.666667,2216.333333,13206.33333,920.3333333,1874.666667,3179,1876,10988.66667,3178,32963.66667,3226.333333,621,1836.666667,8499.333333,8103.666667,4694.666667,415.3333333,9593,10058.33333,4348.333333,2641.333333,3166.333333,1625,8516.333333,7954.666667,6314.333333,15131.33333,3335.333333,4482,12199.33333,6106.333333,1439,6073.333333,8865.666667,1792,13385,11332,2132.666667,5570.666667,7280.333333,4570.666667,30942.33333,4379,9147,11492.33333
MIYAGI,1003139,19465,9803.666667,22211,3252,1888.666667,1367.333333,5082,7077,2010,737.3333333,610.6666667,1483.666667,3680,5696,529.3333333,274,2374.333333,958.6666667,4532.333333,509.6666667,610.3333333,488.3333333,1781.666667,1591,1116,2488,726.3333333,6889,4007,413.6666667,429.6666667,1306.333333,1251.666667,424.6666667,2999.666667,1905,1393,365,6578.666667,1675.666667,1340.333333,8573.666667,1548.333333,692.3333333,3735,711.6666667,3114,3679.333333,13875.66667,32950.66667,16521,1652.666667,4325.333333,4577.666667,7804.666667,2834,4670,14740.33333,499.3333333,15147.66667,1177.333333,7312.333333,780,11191,2810,2548.333333,1246,3078.333333,2365.666667,2796.333333,1137,8746.666667,1387,2706.666667,745,1718,2444,1087.333333,3780.333333,808.3333333,844.3333333,3310.666667,2337.333333,1829.666667,3661.333333,2082,7194,2372,1770.666667,2055.333333,1267,3523,4643.333333,409.6666667,424.6666667,2857,2528,839.6666667,3018,5281,3105,5442.666667,1020.333333,1885.666667,1456.333333,1117.333333,636.3333333,5948.666667,938.6666667,276,2600.666667,4867.666667,4682.666667,703.6666667,2752,2379.666667,2791,1120.333333,1466.666667,1737.333333,1060.666667,3657,5042.666667,2254,5411.333333,3903.666667,4650.333333,561,400,1677.666667,2298,973.3333333,736,734.3333333,665,1399.333333,2015.666667,1422.333333,1378.666667,4613,2525.666667,1543.666667,5255.333333,14325.66667,657.6666667,738.3333333,10295,605.6666667,7968.666667,2442.333333,1728,11196,6359,5223.666667,6166,2310,7099.666667,2715.333333,11068.33333,24956.33333,18715,14565.66667,5822.333333,6992.666667,18456.66667,2694.333333,6462,2172.333333,2293.666667,12699.66667,1135,1955.666667,2683,1890,9032.666667,2199.333333,36420,3679.333333,1192.666667,1392.333333,7359.666667,7812.666667,5822.333333,401.6666667,7137.666667,9082.666667,5431.666667,2603.666667,4101.666667,1689.666667,8714.666667,8072.333333,6045.666667,11727.33333,4359.333333,4924.666667,8350,6334.333333,1719,7480.333333,11207,3187,13368.66667,20059,2800,10007.66667,5289,5664,26935.66667,7124,11362,10454.33333
AKITA,952812,18662,7917.666667,17541,3616.333333,4348.333333,1226,5696.666667,6006.666667,1905.666667,548.6666667,602,1178.333333,2485.333333,5081.333333,961.3333333,521.3333333,1413,2129,6170,803.6666667,711.3333333,747.3333333,1997.666667,2130,869,3082.333333,1163.666667,7417.666667,4805,403.6666667,621,616.6666667,1596.666667,653,4469.333333,2965.333333,900.6666667,252,8037,1489.666667,1564.666667,3096.666667,1243.666667,637,4603.666667,1352.333333,2882.666667,3768,14047,35183.33333,16663.66667,1407,2785,4117.666667,7614,2921.666667,2923.333333,14132.66667,574.3333333,13185.33333,1015.666667,6349.666667,547,10585,3267.666667,3050.333333,1302.666667,3299.333333,2564.666667,3023.333333,1209.333333,9172.333333,1226.333333,2509.666667,522.3333333,1723.666667,2555.666667,1183.333333,3954,660.3333333,732.6666667,3839.666667,3356,1865,3517,2672.666667,8381.333333,2309.666667,2394.333333,1798,1292,4045.333333,4123,551.3333333,204,2572,1975.333333,803.3333333,3209.333333,5684.333333,2373,6055.333333,608.6666667,1763.333333,1628.666667,1364.666667,319.6666667,5635,992.6666667,645.3333333,2374,6941.333333,4764.333333,536,2457,1980.666667,2892,1040.333333,1143.666667,1912,2174,3369.333333,5965.666667,2171.333333,5675.666667,3020.333333,4808.333333,514,434.6666667,1668,2638.333333,1118.666667,1028.333333,608.3333333,611.3333333,1485.666667,1914.333333,1195.333333,1426.333333,3884,2405.333333,1635.333333,6191.333333,13223.66667,637,752.6666667,9457,439.6666667,6481.666667,2582.333333,1731.333333,10900.66667,5130,3230.333333,4610.333333,1764.333333,5632.333333,1497.333333,9682,27542.33333,15218.33333,11755,4660.666667,6221,13387.66667,2056,5101.333333,1507,1874.333333,10248.33333,939,1593.333333,2681.333333,1313,8946.333333,2906.666667,37634.66667,2997.666667,657,1632.333333,6639,8071.666667,4076.333333,323.6666667,9248,7141,4841.666667,1850.333333,3429.666667,1820,7583.333333,9222.666667,6046.333333,13023,3382.333333,4164,10779.66667,5982.666667,1268,6056.333333,9112,2060.666667,15194.66667,15784.66667,1963.666667,5841,7752.666667,3748.333333,24989.66667,3845,9315,12760.33333
YAMAGATA,1028010.333,23953.33333,8577.333333,17589,4580.333333,3335,1320.666667,6030.333333,6927.666667,2071.666667,836,682,1836,2938.666667,5585.333333,490,216.6666667,2339,841,4645,372.6666667,501.6666667,656,2039.666667,1974,1294.666667,2483.333333,994,5495,3518.333333,495.6666667,174.3333333,907.6666667,1533.333333,410,3789.666667,2957.333333,1077.666667,258,8284.333333,1963,1859,3825.333333,1758.666667,676.6666667,3942,1120.333333,3430.666667,3631,26151,34770.33333,16655.33333,1616.666667,4688.666667,4667.666667,8907,3566,4416.666667,16900,1127,16300.33333,1129.333333,6835.666667,723.6666667,10916,2608.666667,2682,933.6666667,3258.333333,2224.333333,2648.666667,1264.666667,9307,1122.333333,2278.333333,1896.333333,1493.333333,2360.333333,1227,3499,853.3333333,1423,3016.333333,2154.333333,1391.333333,3738.666667,2351.666667,6173,1876.333333,1791,1854,1472.333333,3967,3482.666667,476.6666667,216,2836,1926.333333,1230,3481,5304.333333,3295.333333,6063.333333,726.6666667,3079.666667,1008.666667,1105.333333,820.3333333,6215.333333,1731.333333,352.6666667,2115,6264.666667,4368,744.6666667,2557,3414,4069.666667,835,1373.333333,1595.333333,953.6666667,3816,4967.333333,1632.333333,11723,3756.666667,5040.333333,482.3333333,588,2960.333333,2774.333333,1116,811.3333333,729.6666667,642.3333333,1623.333333,2037.333333,1130.333333,1499,3853.666667,2183.666667,2054.666667,5637.666667,13955.66667,756.6666667,744.6666667,11952,447,7968,2444.666667,1953.333333,10454.33333,7906.666667,4774.666667,6267.666667,2177,7127.333333,2786.666667,12143,20254.33333,14640.33333,13102.66667,4772.333333,6015.333333,15306.66667,2201.666667,6065,1775.333333,2148,14329,894.6666667,1539.666667,3063,1779.333333,11186,4400.333333,33470.66667,2923.333333,551,1483.333333,7450.666667,7673.333333,4510.666667,384.6666667,8094,10107.66667,4532,2163.666667,3011.333333,2257,8567.666667,6822.666667,6454.333333,12988.66667,4314.333333,4982,10478.33333,6896.333333,2206,7873.333333,14741,2246.666667,16976,19344.33333,4323,12029,9248,5138.666667,18627.33333,5363.333333,9276.333333,14005.33333
FUKUSHIMA,1008727,23328.33333,8755,19306.66667,3287.333333,2538.333333,1452.666667,4833.666667,7197.666667,2155.666667,1025.333333,650.3333333,1304.333333,2962,6358.666667,506.3333333,315.3333333,2785.666667,760.6666667,4492.333333,529.6666667,536,655.6666667,1864.333333,1605.333333,972,2218.333333,803.6666667,4653.333333,3733,527.3333333,286,696.6666667,1164.333333,333.3333333,3646.666667,2467.666667,1844.666667,360.6666667,7453.666667,2165,1720.666667,3692.666667,1869,638.3333333,3691.333333,1017,3351.333333,4074,12586.66667,37301,14431.66667,1171.333333,2994,5167,7656,3030,3579.333333,14697,363.3333333,15961,1069,7373.333333,738.3333333,12537,3314.333333,2178.333333,1272.666667,2978.333333,2203,2730.666667,1136.333333,8134.666667,1057.333333,2575,751,1854.333333,2890,1075,3665.333333,711.6666667,655.3333333,3561.333333,1813.666667,1665,4142.666667,2365.333333,7063.666667,2080.666667,1914.666667,2267.333333,1362,3197.666667,3027,594.3333333,243,3052.666667,1860.666667,791.3333333,2949.666667,5244.666667,2918,6307.666667,1024,1904.333333,1465.666667,1273,912.6666667,5836,1518,440.3333333,2751,6238,4076,535.3333333,2145.666667,2646.666667,2706,739.3333333,7386,914,514,3500,5130,1589.333333,4758.333333,3584.666667,4893.666667,458.3333333,587.3333333,1579,2553.333333,1155.666667,960,880.6666667,650.6666667,1683.666667,2343.666667,1040,1472,4325.666667,2551,2009,6348.666667,13414.66667,958.6666667,1731.333333,10612.66667,467.6666667,8031.666667,2577.333333,2046,8979.666667,7062.333333,5095.333333,6687.333333,2361.333333,6905.666667,2971,12909.66667,21983.66667,19288.66667,13817,5345.333333,7226.333333,17837.66667,1897,8513.333333,2443.333333,2304.333333,14141.33333,988,1781.333333,2939.666667,2219.666667,10919.33333,6055.666667,33804,3170.333333,855.3333333,1576.333333,9532.666667,7701,5711.666667,389.6666667,8632.666667,8042.666667,5947,3371,5057,2092.666667,8762.333333,7226.666667,6332.666667,14289.66667,2514,3662.666667,10491.33333,5298,1451.666667,5873.333333,9556.333333,2333.333333,15657.66667,24402,3250.666667,10341.66667,5024,5292.333333,21354.66667,4588,7944,14750.66667
IBARAKI,925487.6667,18037.66667,9339.333333,17648.33333,3505,2204.333333,1275,4240,5302.333333,1616.333333,657.3333333,628.3333333,1714.333333,3275,5039.666667,574.6666667,240.6666667,2787.333333,862,5078.333333,587.3333333,551,566.6666667,1815.333333,1245.666667,886.6666667,1971.333333,847.6666667,4184.333333,4516.333333,326.6666667,876.3333333,590.6666667,937,207.6666667,2783,2176.333333,2079.333333,560.3333333,6085.666667,1675.333333,1231.333333,2807.666667,1507.666667,705.6666667,3192.333333,1051.666667,3127.333333,3083.666667,13638.33333,30248.33333,14466.66667,1751,1851.666667,4870,7231.666667,2364.666667,2474,12796,1379,15661.66667,1174.333333,7357.333333,546.6666667,10342,2451.666667,1727.333333,987.3333333,2915,2255,2261.666667,833.3333333,5576,955,2257.666667,531.6666667,1630.666667,2340.333333,788,3485.666667,904,379,3184.666667,1385.333333,1564.333333,3141,1808.333333,7343.666667,2121.666667,1912,1987.333333,1020.333333,2573,3891,468.3333333,246.6666667,2776,1761.333333,592,2524.333333,5421.666667,2742,6150.666667,984.6666667,1475,1463.333333,932.3333333,455.6666667,5108.666667,1166.333333,345,2122.666667,5227.333333,5383.666667,577,2512.333333,2286.666667,3222,944,705.3333333,1583.333333,3611.666667,4038.666667,4845.333333,2259.333333,3497.666667,3286,4734.333333,498,432.6666667,1564.333333,1989.666667,1064.333333,857.3333333,693.3333333,662.6666667,1503,2245,1313,1241,3781.666667,2270.333333,1632.333333,4521.333333,12637.33333,1117.666667,1052,7895,815.3333333,7508,2126.666667,1922,9279,8249,4553.666667,5740,2013.666667,6393.333333,2287.666667,10273.33333,24331,17997,13300.33333,5657,7211.333333,17462,2284.666667,6611.666667,1740,2123,11638.33333,1083.666667,1556,2709.333333,1943.333333,12494.33333,2729,31144.66667,3869.666667,973.3333333,1571,9482.666667,7666.666667,4874,423.6666667,6445,7063.666667,5982.333333,2344,5172.333333,1601,8669.666667,5989.333333,4958.333333,11089.33333,3039.666667,3715.666667,5686.666667,3832,906.6666667,6498,7727,2348,12799,20614,4661.333333,14166.33333,5335.666667,5685.333333,27946.33333,6231.666667,8164.333333,9780.333333
TOCHIGI,1025725,18479.33333,10544.33333,20407.33333,3551,2327,1543.333333,4863,6163.666667,1954.666667,779.3333333,624.6666667,1819.666667,3907.666667,7492.666667,596.3333333,253.3333333,1679,610,4647,544.3333333,383.6666667,511.6666667,1744.333333,1431.666667,1076.666667,2391.333333,1500.333333,4953.666667,4736.333333,485.6666667,391.6666667,516,1181,281,2788.666667,2313.666667,2313.333333,558.3333333,6428,1974.666667,1458.666667,2608.333333,1506,694.3333333,3636.333333,983.6666667,3264.333333,3700.666667,16797.66667,31533,15627,1834,2229.666667,5251.333333,7617.666667,2703.333333,2692.666667,14634.33333,641,14812,1217.333333,7269.666667,669.6666667,9886,2757.666667,1897.333333,994,2839.333333,2619,2612.666667,945,6553,1332,2550,717.3333333,1905.666667,2452,1026.333333,3872.333333,793.6666667,580,3486,1574.666667,1525.333333,3599.666667,2097.666667,8783.666667,2320.333333,1872,1817,987.6666667,2828.333333,4666,392.6666667,211.3333333,2787.666667,1682.333333,676,2772.333333,4965.666667,2617.666667,5418,1487.333333,1679.666667,1721.333333,908.3333333,530,5844.333333,1335.666667,460.6666667,2276.666667,5234.666667,5343,700,2656,3297,2633.666667,955,956.3333333,1284,740,4855.333333,5630.666667,2377.333333,4578.666667,3785.333333,4822,571.3333333,458,1664.666667,2299.333333,1005,697.3333333,884.3333333,685.6666667,1506,2782.333333,1243.333333,1226,4258.666667,2711.666667,1674.666667,5100,15075,1041.333333,964.3333333,8752.666667,786,7992,2381.666667,1996,10111,7881.333333,5147.666667,6006.666667,2239,6533,2405.333333,11900.66667,21262,21853,13699,5255,7703.666667,19866,2815,8777.666667,2071.666667,2284,13869.66667,1309.333333,3363.666667,3248.666667,1897.333333,10567.33333,2570.666667,36651,3801,829.3333333,1514.333333,11340.33333,7305.666667,5166.333333,384.6666667,7457.333333,8605.666667,5647.666667,2700.333333,3610,2042.333333,9359,6389.666667,6383.333333,11260.66667,3315,3389.333333,8368.666667,5213.666667,1163,8129,11236,3206,16208.66667,26985.66667,5779.666667,16709.66667,6827.333333,6997.333333,37550,7447,9431.333333,11283.66667
GUNMA,970070,21711.33333,9662.666667,23166.66667,4680.666667,2217.333333,1325,4466.333333,4944.333333,1743,578,717.3333333,1517,3423.333333,7111.333333,605.3333333,316.6666667,1185,554.6666667,5520.666667,696.3333333,358,512.3333333,1700.333333,1295.666667,986.6666667,2043,946.3333333,5567.666667,4308.333333,532.3333333,332,715.6666667,1048,356.6666667,2108.666667,2783.333333,1756.666667,744.3333333,5729.333333,1904.333333,1865.666667,2578,1478,843.6666667,3797,1100.666667,3325,3403.333333,12019.66667,28706.66667,13057,1862.333333,2031.666667,5049.666667,6994.666667,2378.666667,3001.666667,14921.33333,398,15781.33333,1293,7227.333333,733.3333333,9315,2439.333333,1863.333333,927.6666667,2711,2362,2036.666667,817.6666667,6145.666667,1153,2637.333333,698.3333333,1556.666667,2289.666667,908.6666667,3394.666667,756.3333333,503,3327.666667,1685.666667,1605.666667,4059.666667,1680.666667,9380.333333,2150,2130.333333,1639,1154.333333,2632.666667,4133.333333,488,156,3109,1623,661,2627.666667,5013.333333,2700,6202.666667,745.3333333,1505.666667,1180.666667,1301,591.6666667,5917.666667,1296,395,2344.333333,6477.333333,4691,498,2462,2584.666667,3107.333333,568.6666667,904.6666667,1262,706.6666667,5127.333333,5566.333333,2176.666667,4660.666667,4499.333333,4336,649,467.6666667,1585,2092.333333,1039.333333,836,654.3333333,623,1370.666667,3025.666667,1613,1215.333333,4010.666667,2333.333333,1559.666667,4607,13027,619.3333333,1244.666667,8375.666667,835.3333333,7469.333333,2426.666667,1792.333333,9139,6653,3907.333333,5087.333333,2037,6365.666667,2025.333333,10863,23159,24868.33333,17665.66667,5196,7720,18871.66667,1907.333333,5954,1680,2141.333333,11907,1186.333333,2083,2465.333333,1519,9976.666667,2595.666667,33588,3678.333333,940.3333333,1552.333333,10539.33333,7495.666667,5447.666667,357.6666667,8400,6969.333333,8350,2548.666667,4861.333333,1832.666667,9350,5933.333333,4967.333333,9785,2373.666667,3852.333333,7202.666667,3866,1377,7660,7385,3845,11335.33333,17452.66667,3949,12157,7239.333333,5549,38498.66667,5885,9825.333333,12270.33333
